Timestamp,Do you have siblings?,Do you play video games daily?,How many hours of sleep do you get?,On a scale of 1-10 how often do you yell? (1 being never and 10 being always)
4/3/2024 12:07:41,Yes,Yes,7,1
4/3/2024 12:09:53,Yes,No,5,5
4/3/2024 12:10:59,Yes,Yes,6,3
4/3/2024 12:13:35,Yes,Yes,8,5
4/3/2024 12:14:50,Yes,Yes,5,8
4/3/2024 12:22:43,Yes,Yes,7,1
4/3/2024 12:24:20,Yes,No,7,6
4/3/2024 12:24:58,Yes,No,5,3
4/3/2024 12:27:24,Yes,Yes,7,6
4/3/2024 12:41:48,Yes,No,6,10
4/3/2024 12:49:19,Yes,No,7,3
4/3/2024 13:19:59,Yes,No,9,3
4/3/2024 13:20:17,Yes,No,9,3
4/3/2024 13:21:40,No,Yes,8,4
4/3/2024 13:22:06,Yes,Yes,8,10
4/3/2024 13:22:43,Yes,No,7,8
4/3/2024 13:22:56,Yes,No,4,10
4/3/2024 13:23:36,Yes,No,6,3
4/3/2024 13:26:23,Yes,No,5,7
4/3/2024 13:26:24,Yes,No,7,5
4/3/2024 13:26:43,Yes,Yes,7,7
4/3/2024 13:26:53,Yes,No,8,4
4/3/2024 13:26:54,Yes,No,7,3
4/3/2024 13:28:08,Yes,No,7,1
4/3/2024 13:28:32,Yes,Yes,7,5.5
4/3/2024 13:28:48,No,No,3,3
4/3/2024 13:28:51,Yes,No,5,4
4/3/2024 13:29:07,Yes,No,8,2
4/3/2024 13:29:17,Yes,Yes,7,8
4/3/2024 13:29:25,Yes,No,5,6
4/3/2024 13:29:27,Yes,No,9,9
4/3/2024 13:29:53,No,No,6,5
4/3/2024 13:30:09,Yes,No,6,3
4/3/2024 13:30:52,Yes,No,8,6
4/3/2024 13:31:05,Yes,No,7,3
4/3/2024 13:31:14,Yes,Yes,5,7
4/3/2024 13:31:31,Yes,No,6,8
4/3/2024 13:31:32,Yes,No,7,2
4/3/2024 13:32:59,Yes,No,10,5
4/3/2024 13:33:06,Yes,No,6,3
4/3/2024 13:33:10,Yes,No,8,1
4/3/2024 13:34:57,Yes,Yes,6,7
4/3/2024 13:37:23,Yes,Yes,7,7
4/3/2024 13:38:10,Yes,Yes,8,7
4/3/2024 13:38:37,Yes,No,5,3
4/3/2024 13:38:45,Yes,Yes,4,1
4/3/2024 13:38:47,Yes,Yes,5,8
4/3/2024 13:38:54,Yes,No,5,2
4/3/2024 13:38:57,Yes,No,7,9
4/3/2024 13:39:00,Yes,Yes,7,6
4/3/2024 13:39:12,Yes,Yes,7,3
4/3/2024 13:39:15,Yes,Yes,3,2
4/3/2024 13:39:55,Yes,No,8,6
4/3/2024 13:40:28,Yes,Yes,8,7
4/3/2024 13:40:31,Yes,Yes,7,5
4/3/2024 13:40:50,Yes,Yes,6,4
4/3/2024 13:41:35,Yes,No,7,6
4/3/2024 13:46:47,No,No,8,7
4/3/2024 13:48:43,Yes,Yes,6,4
4/3/2024 13:48:47,Yes,Yes,6,4
4/3/2024 13:58:28,Yes,No,6,7
4/3/2024 14:01:49,Yes,Yes,6,1
4/3/2024 14:07:58,Yes,Yes,6,7
4/3/2024 15:09:57,Yes,No,7,6
4/3/2024 17:37:51,Yes,No,5,1
4/3/2024 20:59:23,Yes,No,4,6
4/3/2024 21:00:32,Yes,No,7,5
4/3/2024 21:10:32,Yes,No,8,3
4/3/2024 21:23:43,Yes,No,7,7
4/3/2024 21:24:36,Yes,Yes,5,7
4/3/2024 21:25:10,Yes,No,5,3
4/3/2024 21:28:07,Yes,Yes,7,9
4/3/2024 21:52:43,Yes,Yes,9,3
4/3/2024 21:56:35,Yes,No,6,2
4/3/2024 22:03:48,Yes,Yes,8,6.536
4/3/2024 22:45:40,Yes,Yes,8,10
4/3/2024 23:41:46,Yes,No,3,6
4/4/2024 4:29:32,Yes,No,7.5,6
4/4/2024 9:30:11,Yes,No,10,1
4/4/2024 9:59:35,No,No,7,3
4/4/2024 10:22:37,Yes,Yes,8,1
4/4/2024 10:34:22,Yes,No,5,4
4/4/2024 12:56:57,Yes,Yes,1,1
4/4/2024 12:57:13,Yes,No,4,9
4/4/2024 13:39:48,Yes,Yes,4,3
4/4/2024 13:44:45,Yes,No,6,6
4/4/2024 14:27:39,Yes,No,7,2
4/4/2024 14:39:10,Yes,No,6,6
4/4/2024 15:42:29,Yes,Yes,9,4
4/4/2024 20:26:07,Yes,No,4,7
4/7/2024 19:43:49,Yes,Yes,9,8
4/7/2024 19:44:00,Yes,Yes,8,4
4/7/2024 19:44:04,Yes,No,5,6
4/7/2024 19:44:06,Yes,No,6,7
4/7/2024 19:44:25,Yes,No,3,5
4/7/2024 19:47:14,Yes,Yes,8,7
4/7/2024 19:47:41,Yes,No,5,3
4/7/2024 19:48:46,Yes,Yes,7,3
4/7/2024 19:49:06,Yes,No,3,3
4/7/2024 19:50:42,Yes,Yes,4,5
4/7/2024 19:52:47,No,Yes,8,8
4/7/2024 20:21:14,Yes,No,7,7
4/7/2024 20:28:20,Yes,No,6,7
4/7/2024 20:40:33,Yes,No,7,7